https://m.media-amazon.com/images/M/MV5BMTUwMGM2ZmYtZGEyZC00OWQyLWI2Y2QtMTdjYzMxZGJmNjhjXkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_UX67_CR0,0,67,98_AL_.jpg,True Detective,(2014– ),A,55,Crime,9,Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.,500194
https://m.media-amazon.com/images/M/MV5BNjg1MDQ5MjQ2N15BMl5BanBnXkFtZTYwNjI5NjA3._V1_UY98_CR3,0,67,98_AL_.jpg,How I Met Your Mother,(2005–2014),15+,22,Romance,8,3,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,603824
https://m.media-amazon.com/images/M/MV5BMTM5MjkwMTI0MV5BMl5BanBnXkFtZTcwODQwMTc0OQ@@._V1_UY98_CR2,0,67,98_AL_.jpg,Dexter,(2006–2021),A,53,Crime,8,6,By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.,647136
https://m.media-amazon.com/images/M/MV5BY2FmZTY5YTktOWRlYy00NmIyLWE0ZmQtZDg2YjlmMzczZDZiXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX67_CR0,0,67,98_AL_.jpg,The Big Bang Theory,(2007–2019),U,22,Romance,8,1,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,724187
https://m.media-amazon.com/images/M/MV5BMWY3NTljMjEtYzRiMi00NWM2LTkzNjItZTVmZjE0MTdjMjJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTQ4NTc5OTU@._V1_UX67_CR0,0,67,98_AL_.jpg,Sherlock,(2010–2017),UA,88,Crime,9,1,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,808717
https://m.media-amazon.com/images/M/MV5BMjEzMDAxOTUyMV5BMl5BanBnXkFtZTgwNzAxMzYzOTE@._V1_UX67_CR0,0,67,98_AL_.jpg,Stranger Things,(2016– ),15,51,Fantasy,8,7,When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.,824966
https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg,Friends,(1994–2004),13+,22,Romance,8,9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,829816
https://m.media-amazon.com/images/M/MV5BMTc5ZmM0OTQtNDY4MS00ZjMyLTgwYzgtOGY0Y2VlMWFmNDU0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX67_CR0,0,67,98_AL_.jpg,The Walking Dead,(2010– ),18+,44,Thriller,8,2,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,854698
https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg,Breaking Bad,(2008–2013),18,49,Drama,9,5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,1468887
https://m.media-amazon.com/images/M/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UY98_CR2,0,67,98_AL_.jpg,Game of Thrones,(2011–2019),A,57,Adventure,9,3,Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.,1773458
